BSS — HyperKitchen/CakeZone SKU → ERP Item mapping,,,,,,,,,,,,
"No numeric key exists (HK Sku/Id ≠ ERP Shopify SKU) → matched by product name. REVIEW col E, then col J 'HK SKU to write' becomes the custom_hk_sku import.",,,,,,,,,,,,
,,,,,,,,,,,,
HK Id,Brand / Category,HK SKU,HK Product Name,Match quality,Score,ERP Item Code,ERP Item Name,ERP Shopify SKU,HK SKU to write,Size/qty check,Top full-catalog candidates,
10306437,Bombay Sweet Shop,9634,#_# Choco Butterscotch Barks (200g) - BSS,REVIEW (shopify catalog) + size?,80,BARK-CB-200GM,Choco Butterscotch Barks (300g) in Gift Box,BARK-CB-300GM,9634,g: HK=[200] vs ERP=[300],BARK-CB-200GM=Choco Butterscotch Barks (200g)-Pack of 1 (100) | BARK-CB-90GM=Choco Butterscotch Barks (95g)-Pack of 1 (91) | BARK-CB-300GM=Choco Butterscotch Barks (300g) in Gift Box (80),
10306451,Bombay Sweet Shop,9637,#_# Choco Butterscotch Barks (95g) - BSS,REVIEW (shopify catalog) + size?,75,BARK-CB-90GM,Choco Butterscotch Barks (300g) in Gift Box,BARK-CB-300GM,9637,g: HK=[95] vs ERP=[300],BARK-CB-90GM=Choco Butterscotch Barks (95g)-Pack of 1 (100) | BARK-CB-200GM=Choco Butterscotch Barks (200g)-Pack of 1 (91) | BSS-1445=BARKS BUTTERSCOTCH SF (77),
22082853,Bombay Sweet Shop,20334,#_# Coffee Fudge Crunch - BSS,REVIEW (full catalog),80,ICE-NAT-CFC-BOX,COFFEE FUDGE CRUNCH - NATURALS,,20334,,BSS-4101=COFFEE FUDGE CRUNCH - NATURALS (80) | BSS-1164=BISCOFF CREME CRUNCH (66) | BSS-4260=(NATURALS) COFFE FUDGE CRUNCH- 500GM TUB (64),
16364822,Bombay Sweet Shop,15380,#_# Gulab Jamun (2pcs) - BSS,REVIEW (full catalog),81,FRE-GJ-2PCS-001,GULAB JAMUN,,15380,,BSS-1417=GULAB JAMUN (81) | FRE-GJ-2PCS-001=Gulab Jamun-2 Pcs (78) | FRE-GJ-6PCS-001=Gulab Jamun-6 Pcs (72),
10306706,Bombay Sweet Shop,10706,#_# Gulab Jamun (6pcs) - BSS,REVIEW (full catalog),81,FRE-GJ-6PCS-001,GULAB JAMUN,,10706,,BSS-1417=GULAB JAMUN (81) | FRE-GJ-6PCS-001=Gulab Jamun-6 Pcs (78) | BSS-1652=GULAB JAMUN CHURROS 6 PCS (73),
10306549,Bombay Sweet Shop,9654,#_# Indie Bar (Coconut Caramel) - BSS,REVIEW (full catalog),86,COMB-035,Indie Bar - Coconut Caramel Patissa-Pack of 3,,9654,,COMB-035=Indie Bar - Coconut Caramel Patissa-Pack of 3 (86) | BSS-1506=INDIE BAR COCONUT (80) | BSS-1517=INDIE BAR CARAMEL SF (75),
19261490,Bombay Sweet Shop,17640,#_# Katli Indie Bites - BSS,REVIEW (shopify catalog),79,IN-BI-DRK-140GM,Indie Katli Bites - Tiramisu,IN-BI-TIR-140GM,17640,,BSS-1748=INDIE KATLI BITES (100) | BSS-1694=INDIE KATLI BITES - ( RTS) (89) | BSS-1706=INDIE KATLI BITES - ( MAP) (89),
11732236,Bombay Sweet Shop,10037,#_# Khatti Meethi Boondi Chikki (100g) - BSS,REVIEW (full catalog),78,,BOX - KHATTI MEETHI CHIKKI - 100 GMS - 2024,,10037,,BSS-1147=BOX - KHATTI MEETHI CHIKKI - 100 GMS - 2024 (78) | BSS-1148=BOX - KHATTI MEETHI CHIKKI - 50 GMS - 2024 (76) | BSS-2737=TAG - BOONDI CHIKKI TAG (2025) (65),
10306479,Bombay Sweet Shop,9642,#_# Large Kite Paper - BSS,REVIEW (full catalog),80,BSS-0319,KITE PAPER - LARGE 29 X 13,,9642,,BSS-0319=KITE PAPER - LARGE 29 X 13 (80) | BSS-1942=KITE PAPER - NEW LARGE 2023 (78) | BSS-0320=KITE PAPER - XL (68),
10306586,Bombay Sweet Shop,9697,#_# Seal With Love / Refrigerate Me Sticker - BSS,REVIEW (full catalog),80,BSS-0449,STICKER - REFRIGERATE ME (WHITE),,9697,,BSS-0449=STICKER - REFRIGERATE ME (WHITE) (80) | BSS-0450=STICKER - REFRIGERATE ME (MAROON) (72) | BSS-1935=STICKER - GHAVER TART REFRIGATE ME (72),
10306565,Bombay Sweet Shop,9694,#_# Small Brown Bag - BSS,REVIEW (full catalog),76,BSS-0324,BOX - RANI BAUG SMALL,,9694,,BSS-0324=BOX - RANI BAUG SMALL (76) | BSS-0930=GARBAGE BAG SMALL (68) | BSS-0501=BAG - SMALL BROWN BAG WITH LOGO (68),
10306754,Bombay Sweet Shop,10987,#_# Small Kite Paper - BSS,REVIEW (full catalog),82,BSS-0320,KITE PAPER - XL,,10987,,BSS-0320=KITE PAPER - XL (82) | BSS-1691=KITE PAPER - NEW SMALL 2023 (CUT - XL ) (66) | BSS-2002=SMALL KNIFE (66),
